ts,listing_key,kodagar,antal_sokande
2026-07-01T12:48:38+02:00,7707-0606-012__2026-06-29,362,6
2026-07-01T15:40:31+02:00,7202-6503-102__2026-06-29,89,5
2026-07-01T15:40:31+02:00,6303-5102-1003__2026-06-29,73,1
2026-07-01T15:40:31+02:00,6303-5103-1106__2026-06-29,89,2
2026-07-01T15:40:31+02:00,6303-5104-1212__2026-06-29,89,1
2026-07-01T15:40:31+02:00,6303-5105-1317__2026-06-29,89,4
2026-07-01T15:40:31+02:00,6303-5102-1006__2026-06-29,49,2
2026-07-01T15:40:31+02:00,6303-5103-1112__2026-06-29,73,2
2026-07-01T15:40:31+02:00,6303-5104-1204__2026-06-29,73,1
2026-07-01T15:40:31+02:00,6303-5105-1318__2026-06-29,89,2
2026-07-01T15:40:31+02:00,7202-6505-107__2026-06-29,89,1
2026-07-01T15:40:31+02:00,6202-2102-1010__2026-06-29,49,1
2026-07-01T15:40:31+02:00,6202-2103-1112__2026-06-29,33,3
2026-07-01T15:40:31+02:00,7202-4703-106__2026-06-29,91,4
2026-07-01T15:40:31+02:00,7202-5304-102__2026-06-29,32,1
2026-07-01T15:40:31+02:00,7202-6102-104__2026-06-29,89,1
2026-07-01T15:40:31+02:00,4210-0103-037__2026-06-29,18,2
2026-07-01T15:40:31+02:00,4210-0104-014__2026-06-29,314,6
2026-07-01T15:40:31+02:00,4210-0117-008__2026-06-29,314,7
2026-07-01T15:40:31+02:00,4210-0115-003__2026-06-29,386,5
2026-07-01T15:40:31+02:00,5102-3604-007__2026-06-29,41,2
2026-07-01T15:40:31+02:00,7202-5301-106__2026-06-29,21,3
2026-07-01T15:40:31+02:00,7202-6103-110__2026-06-29,21,2
2026-07-01T15:40:31+02:00,7202-6105-111__2026-06-29,1,1
2026-07-01T15:40:31+02:00,3622-9910-047__2026-06-29,315,7
2026-07-01T15:40:31+02:00,4210-0113-001__2026-06-29,108,2
2026-07-01T15:40:31+02:00,4415-0104-001__2026-06-29,468,5
2026-07-01T15:40:31+02:00,4602-2001-1005__2026-06-29,36,2
2026-07-01T15:40:31+02:00,5201-0509-002__2026-06-29,717,3
2026-07-01T15:40:31+02:00,7202-5706-106__2026-06-29,277,1
2026-07-01T15:40:31+02:00,7202-5302-105__2026-06-29,33,1
2026-07-01T15:40:31+02:00,6202-2104-1202__2026-06-29,49,3
2026-07-01T15:40:31+02:00,7202-6106-107__2026-06-29,277,1
2026-07-01T15:40:31+02:00,1106-2103-011__2026-06-29,90,6
2026-07-01T15:40:31+02:00,1106-2105-012__2026-06-29,90,5
2026-07-01T15:40:31+02:00,1106-2106-009__2026-06-29,90,5
2026-07-01T15:40:31+02:00,1106-2107-016__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2108-013__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2302-007__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2303-010__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2304-011__2026-06-29,90,5
2026-07-01T15:40:31+02:00,1106-2305-013__2026-06-29,90,5
2026-07-01T15:40:31+02:00,1106-2307-013__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2505-008__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2506-005__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2507-009__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1106-2509-007__2026-06-29,90,4
2026-07-01T15:40:31+02:00,1202-0902-003__2026-06-29,90,5
2026-07-01T15:40:31+02:00,1202-1111-004__2026-06-29,1497,8
2026-07-01T15:40:31+02:00,1202-1105-006__2026-06-29,885,15
2026-07-01T15:40:31+02:00,1407-6603-009__2026-06-29,90,3
2026-07-01T15:40:31+02:00,1407-6604-014__2026-06-29,90,2
2026-07-01T15:40:31+02:00,1407-6605-020__2026-06-29,165,2
2026-07-01T15:40:31+02:00,1407-6606-011__2026-06-29,165,3
2026-07-01T15:40:31+02:00,1407-6608-011__2026-06-29,165,2
2026-07-01T15:40:31+02:00,2118-0404-043__2026-06-29,385,5
2026-07-01T15:40:31+02:00,2118-0405-044__2026-06-29,385,4
2026-07-01T15:40:31+02:00,2118-0407-047__2026-06-29,391,4
2026-07-01T15:40:31+02:00,2118-0405-004__2026-06-29,348,4
2026-07-01T15:40:31+02:00,2118-0408-005__2026-06-29,348,4
2026-07-01T15:40:31+02:00,2118-0408-009__2026-06-29,380,5
2026-07-01T15:40:31+02:00,2118-0405-080__2026-06-29,391,4
2026-07-01T15:40:31+02:00,2118-0406-074__2026-06-29,385,5
2026-07-01T15:40:31+02:00,2204-0506-009__2026-06-29,1740,31
2026-07-01T15:40:31+02:00,2303-0912-002__2026-06-29,1296,14
2026-07-01T15:40:31+02:00,2303-0908-006__2026-06-29,1497,9
2026-07-01T15:40:31+02:00,2405-0503-005__2026-06-29,307,9
2026-07-01T15:40:31+02:00,2405-0504-002__2026-06-29,90,5
2026-07-01T15:40:31+02:00,2405-0505-011__2026-06-29,90,6
2026-07-01T15:40:31+02:00,2405-0506-003__2026-06-29,307,4
2026-07-01T15:40:31+02:00,2405-0507-003__2026-06-29,314,2
2026-07-01T15:40:31+02:00,3213-6704-008__2026-06-29,1497,13
2026-07-01T15:40:31+02:00,3419-3603-009__2026-06-29,1811,3
2026-07-01T15:40:31+02:00,3419-3703-003__2026-06-29,120,7
2026-07-01T15:40:31+02:00,3622-9905-062__2026-06-29,687,19
2026-07-01T15:40:31+02:00,3622-9908-044__2026-06-29,638,15
2026-07-01T15:40:31+02:00,4210-0113-031__2026-06-29,88,4
2026-07-01T15:40:31+02:00,4415-0103-001__2026-06-29,717,2
2026-07-01T15:40:31+02:00,4415-0103-052__2026-06-29,932,9
2026-07-01T15:40:31+02:00,4415-0109-004__2026-06-29,939,5
2026-07-01T15:40:31+02:00,4703-1506-1507__2026-06-29,391,3
2026-07-01T15:40:31+02:00,4703-1508-1709__2026-06-29,661,3
2026-07-01T15:40:31+02:00,5102-3203-011__2026-06-29,245,5
2026-07-01T15:40:31+02:00,5102-3205-022__2026-06-29,245,6
2026-07-01T15:40:31+02:00,5102-3210-025__2026-06-29,238,8
2026-07-01T15:40:31+02:00,7404-2203-018__2026-06-29,90,8
2026-07-01T15:40:31+02:00,5201-0102-043__2026-06-29,245,7
2026-07-01T15:40:31+02:00,5201-0108-012__2026-06-29,253,7
2026-07-01T15:40:31+02:00,5201-0110-013__2026-06-29,306,7
2026-07-01T15:40:31+02:00,7404-2304-016__2026-06-29,315,4
2026-07-01T15:40:31+02:00,7404-2204-024__2026-06-29,90,7
2026-07-01T15:40:31+02:00,7505-2102-004__2026-06-29,90,8
2026-07-01T15:40:31+02:00,7505-1903-012__2026-06-29,154,8
2026-07-01T15:40:31+02:00,7707-0305-006__2026-06-29,273,5
2026-07-01T15:40:31+02:00,7707-1201-006__2026-06-29,90,7
2026-07-01T15:40:31+02:00,7808-1003-044__2026-06-29,90,10
2026-07-01T15:40:31+02:00,7707-0606-012__2026-06-29,362,6
2026-07-01T18:39:34+02:00,7202-6503-102__2026-06-29,89,4
2026-07-01T18:39:34+02:00,6303-5102-1003__2026-06-29,73,1
2026-07-01T18:39:34+02:00,6303-5103-1106__2026-06-29,89,2
2026-07-01T18:39:34+02:00,6303-5104-1212__2026-06-29,89,1
2026-07-01T18:39:34+02:00,6303-5105-1317__2026-06-29,89,4
2026-07-01T18:39:34+02:00,6303-5102-1006__2026-06-29,63,3
2026-07-01T18:39:34+02:00,6303-5103-1112__2026-06-29,73,3
2026-07-01T18:39:34+02:00,6303-5104-1204__2026-06-29,73,2
2026-07-01T18:39:34+02:00,6303-5105-1318__2026-06-29,89,2
2026-07-01T18:39:34+02:00,7202-6505-107__2026-06-29,89,1
2026-07-01T18:39:34+02:00,6202-2102-1010__2026-06-29,53,3
2026-07-01T18:39:34+02:00,6202-2103-1112__2026-06-29,53,5
2026-07-01T18:39:34+02:00,7202-4703-106__2026-06-29,91,5
2026-07-01T18:39:34+02:00,7202-5304-102__2026-06-29,32,1
2026-07-01T18:39:34+02:00,7202-6102-104__2026-06-29,89,1
2026-07-01T18:39:34+02:00,4210-0103-037__2026-06-29,18,2
2026-07-01T18:39:34+02:00,4210-0104-014__2026-06-29,386,7
2026-07-01T18:39:34+02:00,4210-0117-008__2026-06-29,386,8
2026-07-01T18:39:34+02:00,4210-0115-003__2026-06-29,386,5
2026-07-01T18:39:34+02:00,5102-3604-007__2026-06-29,41,2
2026-07-01T18:39:34+02:00,7202-5301-106__2026-06-29,21,2
2026-07-01T18:39:34+02:00,7202-6103-110__2026-06-29,21,1
2026-07-01T18:39:34+02:00,7202-6105-111__2026-06-29,0,1
2026-07-01T18:39:34+02:00,3622-9910-047__2026-06-29,315,8
2026-07-01T18:39:34+02:00,4210-0113-001__2026-06-29,108,2
2026-07-01T18:39:34+02:00,4415-0104-001__2026-06-29,468,5
2026-07-01T18:39:34+02:00,4602-2001-1005__2026-06-29,36,2
2026-07-01T18:39:34+02:00,5201-0509-002__2026-06-29,717,4
2026-07-01T18:39:34+02:00,7202-5706-106__2026-06-29,277,1
2026-07-01T18:39:34+02:00,7202-5302-105__2026-06-29,33,1
2026-07-01T18:39:34+02:00,6202-2104-1202__2026-06-29,49,3
2026-07-01T18:39:34+02:00,7202-6106-107__2026-06-29,277,1
2026-07-01T18:39:34+02:00,1106-2103-011__2026-06-29,90,6
2026-07-01T18:39:34+02:00,1106-2105-012__2026-06-29,90,5
2026-07-01T18:39:34+02:00,1106-2106-009__2026-06-29,90,5
2026-07-01T18:39:34+02:00,1106-2107-016__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2108-013__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2302-007__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2303-010__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2304-011__2026-06-29,90,5
2026-07-01T18:39:34+02:00,1106-2305-013__2026-06-29,90,5
2026-07-01T18:39:34+02:00,1106-2307-013__2026-06-29,90,5
2026-07-01T18:39:34+02:00,1106-2505-008__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2506-005__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2507-009__2026-06-29,90,4
2026-07-01T18:39:34+02:00,1106-2509-007__2026-06-29,90,3
2026-07-01T18:39:34+02:00,1202-0902-003__2026-06-29,90,5
2026-07-01T18:39:34+02:00,1202-1111-004__2026-06-29,1497,9
2026-07-01T18:39:34+02:00,1202-1105-006__2026-06-29,885,17
2026-07-01T18:39:34+02:00,1407-6603-009__2026-06-29,90,3
2026-07-01T18:39:34+02:00,1407-6604-014__2026-06-29,152,2
2026-07-01T18:39:34+02:00,1407-6605-020__2026-06-29,165,2
2026-07-01T18:39:34+02:00,1407-6606-011__2026-06-29,165,2
2026-07-01T18:39:34+02:00,1407-6608-011__2026-06-29,165,2
2026-07-01T18:39:34+02:00,2118-0404-043__2026-06-29,385,5
2026-07-01T18:39:34+02:00,2118-0405-044__2026-06-29,385,5
2026-07-01T18:39:34+02:00,2118-0407-047__2026-06-29,391,4
2026-07-01T18:39:34+02:00,2118-0405-004__2026-06-29,348,5
2026-07-01T18:39:34+02:00,2118-0408-005__2026-06-29,348,4
2026-07-01T18:39:34+02:00,2118-0408-009__2026-06-29,380,5
2026-07-01T18:39:34+02:00,2118-0405-080__2026-06-29,391,4
2026-07-01T18:39:34+02:00,2118-0406-074__2026-06-29,385,5
2026-07-01T18:39:34+02:00,2204-0506-009__2026-06-29,2582,34
2026-07-01T18:39:34+02:00,2303-0912-002__2026-06-29,1395,16
2026-07-01T18:39:34+02:00,2303-0908-006__2026-06-29,1497,9
2026-07-01T18:39:34+02:00,2405-0503-005__2026-06-29,307,9
2026-07-01T18:39:34+02:00,2405-0504-002__2026-06-29,90,5
2026-07-01T18:39:34+02:00,2405-0505-011__2026-06-29,90,6
2026-07-01T18:39:34+02:00,2405-0506-003__2026-06-29,307,4
2026-07-01T18:39:34+02:00,2405-0507-003__2026-06-29,314,2
2026-07-01T18:39:34+02:00,3213-6704-008__2026-06-29,1497,13
2026-07-01T18:39:34+02:00,3419-3603-009__2026-06-29,1811,4
2026-07-01T18:39:34+02:00,3419-3703-003__2026-06-29,120,6
2026-07-01T18:39:34+02:00,3622-9905-062__2026-06-29,687,19
2026-07-01T18:39:34+02:00,3622-9908-044__2026-06-29,638,15
2026-07-01T18:39:34+02:00,4210-0113-031__2026-06-29,25,3
2026-07-01T18:39:34+02:00,4415-0103-001__2026-06-29,717,2
2026-07-01T18:39:34+02:00,4415-0103-052__2026-06-29,932,9
2026-07-01T18:39:34+02:00,4415-0109-004__2026-06-29,939,5
2026-07-01T18:39:34+02:00,4703-1506-1507__2026-06-29,391,3
2026-07-01T18:39:34+02:00,4703-1508-1709__2026-06-29,661,3
2026-07-01T18:39:34+02:00,5102-3203-011__2026-06-29,245,5
2026-07-01T18:39:34+02:00,5102-3205-022__2026-06-29,245,6
2026-07-01T18:39:34+02:00,5102-3210-025__2026-06-29,238,8
2026-07-01T18:39:34+02:00,7404-2203-018__2026-06-29,91,9
2026-07-01T18:39:34+02:00,5201-0102-043__2026-06-29,245,7
2026-07-01T18:39:34+02:00,5201-0108-012__2026-06-29,253,7
2026-07-01T18:39:34+02:00,5201-0110-013__2026-06-29,364,8
2026-07-01T18:39:34+02:00,7404-2304-016__2026-06-29,315,4
2026-07-01T18:39:34+02:00,7404-2204-024__2026-06-29,315,10
2026-07-01T18:39:34+02:00,7505-2102-004__2026-06-29,90,8
2026-07-01T18:39:34+02:00,7505-1903-012__2026-06-29,154,7
2026-07-01T18:39:34+02:00,7707-0305-006__2026-06-29,273,5
2026-07-01T18:39:34+02:00,7707-1201-006__2026-06-29,91,8
2026-07-01T18:39:34+02:00,7808-1003-044__2026-06-29,90,10
2026-07-01T18:39:34+02:00,7707-0606-012__2026-06-29,362,6
2026-07-01T21:11:38+02:00,7202-6503-102__2026-06-29,89,4
2026-07-01T21:11:38+02:00,6303-5102-1003__2026-06-29,73,1
2026-07-01T21:11:38+02:00,6303-5103-1106__2026-06-29,89,1
2026-07-01T21:11:38+02:00,6303-5104-1212__2026-06-29,89,1
2026-07-01T21:11:38+02:00,6303-5105-1317__2026-06-29,89,4
2026-07-01T21:11:38+02:00,6303-5102-1006__2026-06-29,71,3
2026-07-01T21:11:38+02:00,6303-5103-1112__2026-06-29,73,3
2026-07-01T21:11:38+02:00,6303-5104-1204__2026-06-29,73,2
2026-07-01T21:11:38+02:00,6303-5105-1318__2026-06-29,167,2
2026-07-01T21:11:38+02:00,7202-6505-107__2026-06-29,89,1
2026-07-01T21:11:38+02:00,6202-2102-1010__2026-06-29,53,2
2026-07-01T21:11:38+02:00,6202-2103-1112__2026-06-29,53,5
2026-07-01T21:11:38+02:00,7202-4703-106__2026-06-29,91,5
2026-07-01T21:11:38+02:00,7202-5304-102__2026-06-29,32,1
2026-07-01T21:11:38+02:00,7202-6102-104__2026-06-29,89,1
2026-07-01T21:11:38+02:00,4210-0103-037__2026-06-29,18,2
2026-07-01T21:11:38+02:00,4210-0104-014__2026-06-29,386,7
2026-07-01T21:11:38+02:00,4210-0117-008__2026-06-29,386,8
2026-07-01T21:11:38+02:00,4210-0115-003__2026-06-29,386,5
2026-07-01T21:11:38+02:00,5102-3604-007__2026-06-29,41,2
2026-07-01T21:11:38+02:00,7202-5301-106__2026-06-29,21,2
2026-07-01T21:11:38+02:00,7202-6103-110__2026-06-29,21,1
2026-07-01T21:11:38+02:00,7202-6105-111__2026-06-29,0,1
2026-07-01T21:11:38+02:00,3622-9910-047__2026-06-29,637,9
2026-07-01T21:11:38+02:00,4210-0113-001__2026-06-29,108,2
2026-07-01T21:11:38+02:00,4415-0104-001__2026-06-29,673,6
2026-07-01T21:11:38+02:00,4602-2001-1005__2026-06-29,36,2
2026-07-01T21:11:38+02:00,5201-0509-002__2026-06-29,717,4
2026-07-01T21:11:38+02:00,7202-5706-106__2026-06-29,277,1
2026-07-01T21:11:38+02:00,7202-5302-105__2026-06-29,71,2
2026-07-01T21:11:38+02:00,6202-2104-1202__2026-06-29,71,3
2026-07-01T21:11:38+02:00,7202-6106-107__2026-06-29,277,1
2026-07-01T21:11:38+02:00,1106-2103-011__2026-06-29,90,5
2026-07-01T21:11:38+02:00,1106-2105-012__2026-06-29,90,5
2026-07-01T21:11:38+02:00,1106-2106-009__2026-06-29,90,5
2026-07-01T21:11:38+02:00,1106-2107-016__2026-06-29,138,5
2026-07-01T21:11:38+02:00,1106-2108-013__2026-06-29,90,4
2026-07-01T21:11:38+02:00,1106-2302-007__2026-06-29,90,4
2026-07-01T21:11:38+02:00,1106-2303-010__2026-06-29,90,4
2026-07-01T21:11:38+02:00,1106-2304-011__2026-06-29,90,6
2026-07-01T21:11:38+02:00,1106-2305-013__2026-06-29,90,5
2026-07-01T21:11:38+02:00,1106-2307-013__2026-06-29,90,4
2026-07-01T21:11:38+02:00,1106-2505-008__2026-06-29,90,5
2026-07-01T21:11:38+02:00,1106-2506-005__2026-06-29,90,4
2026-07-01T21:11:38+02:00,1106-2507-009__2026-06-29,90,3
2026-07-01T21:11:38+02:00,1106-2509-007__2026-06-29,90,3
2026-07-01T21:11:38+02:00,1202-0902-003__2026-06-29,90,5
2026-07-01T21:11:38+02:00,1202-1111-004__2026-06-29,1497,9
2026-07-01T21:11:38+02:00,1202-1105-006__2026-06-29,885,17
2026-07-01T21:11:38+02:00,1407-6603-009__2026-06-29,90,3
2026-07-01T21:11:38+02:00,1407-6604-014__2026-06-29,152,2
2026-07-01T21:11:38+02:00,1407-6605-020__2026-06-29,165,3
2026-07-01T21:11:38+02:00,1407-6606-011__2026-06-29,165,3
2026-07-01T21:11:38+02:00,1407-6608-011__2026-06-29,165,3
2026-07-01T21:11:38+02:00,2118-0404-043__2026-06-29,385,5
2026-07-01T21:11:38+02:00,2118-0405-044__2026-06-29,385,6
2026-07-01T21:11:38+02:00,2118-0407-047__2026-06-29,391,4
2026-07-01T21:11:38+02:00,2118-0405-004__2026-06-29,348,5
2026-07-01T21:11:38+02:00,2118-0408-005__2026-06-29,348,6
2026-07-01T21:11:38+02:00,2118-0408-009__2026-06-29,380,5
2026-07-01T21:11:38+02:00,2118-0405-080__2026-06-29,391,5
2026-07-01T21:11:38+02:00,2118-0406-074__2026-06-29,385,6
2026-07-01T21:11:38+02:00,2204-0506-009__2026-06-29,2582,33
2026-07-01T21:11:38+02:00,2303-0912-002__2026-06-29,1395,16
2026-07-01T21:11:38+02:00,2303-0908-006__2026-06-29,1497,9
2026-07-01T21:11:38+02:00,2405-0503-005__2026-06-29,307,9
2026-07-01T21:11:38+02:00,2405-0504-002__2026-06-29,90,5
2026-07-01T21:11:38+02:00,2405-0505-011__2026-06-29,90,6
2026-07-01T21:11:38+02:00,2405-0506-003__2026-06-29,307,4
2026-07-01T21:11:38+02:00,2405-0507-003__2026-06-29,314,2
2026-07-01T21:11:38+02:00,3213-6704-008__2026-06-29,1497,13
2026-07-01T21:11:38+02:00,3419-3603-009__2026-06-29,1811,3
2026-07-01T21:11:38+02:00,3419-3703-003__2026-06-29,120,6
2026-07-01T21:11:38+02:00,3622-9905-062__2026-06-29,687,17
2026-07-01T21:11:38+02:00,3622-9908-044__2026-06-29,638,14
2026-07-01T21:11:38+02:00,4210-0113-031__2026-06-29,25,4
2026-07-01T21:11:38+02:00,4415-0103-001__2026-06-29,717,2
2026-07-01T21:11:38+02:00,4415-0103-052__2026-06-29,932,9
2026-07-01T21:11:38+02:00,4415-0109-004__2026-06-29,1068,6
2026-07-01T21:11:38+02:00,4703-1506-1507__2026-06-29,391,3
2026-07-01T21:11:38+02:00,4703-1508-1709__2026-06-29,391,3
2026-07-01T21:11:38+02:00,5102-3203-011__2026-06-29,245,5
2026-07-01T21:11:38+02:00,5102-3205-022__2026-06-29,245,6
2026-07-01T21:11:38+02:00,5102-3210-025__2026-06-29,238,8
2026-07-01T21:11:38+02:00,7404-2203-018__2026-06-29,91,9
2026-07-01T21:11:38+02:00,5201-0102-043__2026-06-29,245,7
2026-07-01T21:11:38+02:00,5201-0108-012__2026-06-29,253,7
2026-07-01T21:11:38+02:00,5201-0110-013__2026-06-29,364,8
2026-07-01T21:11:38+02:00,7404-2304-016__2026-06-29,315,4
2026-07-01T21:11:38+02:00,7404-2204-024__2026-06-29,315,10
2026-07-01T21:11:38+02:00,7505-2102-004__2026-06-29,90,9
2026-07-01T21:11:38+02:00,7505-1903-012__2026-06-29,154,6
2026-07-01T21:11:38+02:00,7707-0305-006__2026-06-29,273,4
2026-07-01T21:11:38+02:00,7707-1201-006__2026-06-29,91,8
2026-07-01T21:11:38+02:00,7808-1003-044__2026-06-29,90,11
2026-07-01T21:11:38+02:00,7707-0606-012__2026-06-29,362,6
2026-07-01T22:53:51+02:00,7202-6503-102__2026-06-29,89,4
2026-07-01T22:53:51+02:00,6303-5102-1003__2026-06-29,73,1
2026-07-01T22:53:51+02:00,6303-5103-1106__2026-06-29,299,2
2026-07-01T22:53:51+02:00,6303-5104-1212__2026-06-29,89,1
2026-07-01T22:53:51+02:00,6303-5105-1317__2026-06-29,89,4
2026-07-01T22:53:51+02:00,6303-5102-1006__2026-06-29,71,3
2026-07-01T22:53:51+02:00,6303-5103-1112__2026-06-29,73,3
2026-07-01T22:53:51+02:00,6303-5104-1204__2026-06-29,89,3
2026-07-01T22:53:51+02:00,6303-5105-1318__2026-06-29,167,1
2026-07-01T22:53:51+02:00,7202-6505-107__2026-06-29,89,1
2026-07-01T22:53:51+02:00,6202-2102-1010__2026-06-29,53,2
2026-07-01T22:53:51+02:00,6202-2103-1112__2026-06-29,53,5
2026-07-01T22:53:51+02:00,7202-4703-106__2026-06-29,91,4
2026-07-01T22:53:51+02:00,7202-5304-102__2026-06-29,54,2
2026-07-01T22:53:51+02:00,7202-6102-104__2026-06-29,89,1
2026-07-01T22:53:51+02:00,4210-0103-037__2026-06-29,18,2
2026-07-01T22:53:51+02:00,4210-0104-014__2026-06-29,386,7
2026-07-01T22:53:51+02:00,4210-0117-008__2026-06-29,386,8
2026-07-01T22:53:51+02:00,4210-0115-003__2026-06-29,386,5
2026-07-01T22:53:51+02:00,5102-3604-007__2026-06-29,41,2
2026-07-01T22:53:51+02:00,7202-5301-106__2026-06-29,54,3
2026-07-01T22:53:51+02:00,7202-6103-110__2026-06-29,54,2
2026-07-01T22:53:51+02:00,7202-6105-111__2026-06-29,2,2
2026-07-01T22:53:51+02:00,3622-9910-047__2026-06-29,637,11
2026-07-01T22:53:51+02:00,4210-0113-001__2026-06-29,108,2
2026-07-01T22:53:51+02:00,4415-0104-001__2026-06-29,673,6
2026-07-01T22:53:51+02:00,4602-2001-1005__2026-06-29,36,2
2026-07-01T22:53:51+02:00,5201-0509-002__2026-06-29,717,4
2026-07-01T22:53:51+02:00,7202-5706-106__2026-06-29,277,1
2026-07-01T22:53:51+02:00,7202-5302-105__2026-06-29,71,2
2026-07-01T22:53:51+02:00,6202-2104-1202__2026-06-29,71,3
2026-07-01T22:53:51+02:00,7202-6106-107__2026-06-29,277,1
2026-07-01T22:53:51+02:00,1106-2103-011__2026-06-29,90,5
2026-07-01T22:53:51+02:00,1106-2105-012__2026-06-29,152,7
2026-07-01T22:53:51+02:00,1106-2106-009__2026-06-29,90,5
2026-07-01T22:53:51+02:00,1106-2107-016__2026-06-29,138,5
2026-07-01T22:53:51+02:00,1106-2108-013__2026-06-29,90,6
2026-07-01T22:53:51+02:00,1106-2302-007__2026-06-29,90,4
2026-07-01T22:53:51+02:00,1106-2303-010__2026-06-29,90,4
2026-07-01T22:53:51+02:00,1106-2304-011__2026-06-29,90,6
2026-07-01T22:53:51+02:00,1106-2305-013__2026-06-29,90,6
2026-07-01T22:53:51+02:00,1106-2307-013__2026-06-29,90,4
2026-07-01T22:53:51+02:00,1106-2505-008__2026-06-29,90,5
2026-07-01T22:53:51+02:00,1106-2506-005__2026-06-29,90,4
2026-07-01T22:53:51+02:00,1106-2507-009__2026-06-29,90,5
2026-07-01T22:53:51+02:00,1106-2509-007__2026-06-29,90,3
2026-07-01T22:53:51+02:00,1202-0902-003__2026-06-29,90,5
2026-07-01T22:53:51+02:00,1202-1111-004__2026-06-29,1497,9
2026-07-01T22:53:51+02:00,1202-1105-006__2026-06-29,885,17
2026-07-01T22:53:51+02:00,1407-6603-009__2026-06-29,90,2
2026-07-01T22:53:51+02:00,1407-6604-014__2026-06-29,152,3
2026-07-01T22:53:51+02:00,1407-6605-020__2026-06-29,165,3
2026-07-01T22:53:51+02:00,1407-6606-011__2026-06-29,165,3
2026-07-01T22:53:51+02:00,1407-6608-011__2026-06-29,165,3
2026-07-01T22:53:51+02:00,2118-0404-043__2026-06-29,385,4
2026-07-01T22:53:51+02:00,2118-0405-044__2026-06-29,385,6
2026-07-01T22:53:51+02:00,2118-0407-047__2026-06-29,391,4
2026-07-01T22:53:51+02:00,2118-0405-004__2026-06-29,348,5
2026-07-01T22:53:51+02:00,2118-0408-005__2026-06-29,348,6
2026-07-01T22:53:51+02:00,2118-0408-009__2026-06-29,380,5
2026-07-01T22:53:51+02:00,2118-0405-080__2026-06-29,391,5
2026-07-01T22:53:51+02:00,2118-0406-074__2026-06-29,385,6
2026-07-01T22:53:51+02:00,2204-0506-009__2026-06-29,2582,33
2026-07-01T22:53:51+02:00,2303-0912-002__2026-06-29,1416,17
2026-07-01T22:53:51+02:00,2303-0908-006__2026-06-29,2261,10
2026-07-01T22:53:51+02:00,2405-0503-005__2026-06-29,307,9
2026-07-01T22:53:51+02:00,2405-0504-002__2026-06-29,375,5
2026-07-01T22:53:51+02:00,2405-0505-011__2026-06-29,375,7
2026-07-01T22:53:51+02:00,2405-0506-003__2026-06-29,375,5
2026-07-01T22:53:51+02:00,2405-0507-003__2026-06-29,314,3
2026-07-01T22:53:51+02:00,3213-6704-008__2026-06-29,1497,13
2026-07-01T22:53:51+02:00,3419-3603-009__2026-06-29,1811,3
2026-07-01T22:53:51+02:00,3419-3703-003__2026-06-29,120,6
2026-07-01T22:53:51+02:00,3622-9905-062__2026-06-29,687,17
2026-07-01T22:53:51+02:00,3622-9908-044__2026-06-29,638,15
2026-07-01T22:53:51+02:00,4210-0113-031__2026-06-29,25,4
2026-07-01T22:53:51+02:00,4415-0103-001__2026-06-29,717,2
2026-07-01T22:53:51+02:00,4415-0103-052__2026-06-29,932,9
2026-07-01T22:53:51+02:00,4415-0109-004__2026-06-29,1068,6
2026-07-01T22:53:51+02:00,4703-1506-1507__2026-06-29,391,3
2026-07-01T22:53:51+02:00,4703-1508-1709__2026-06-29,391,3
2026-07-01T22:53:51+02:00,5102-3203-011__2026-06-29,245,5
2026-07-01T22:53:51+02:00,5102-3205-022__2026-06-29,245,6
2026-07-01T22:53:51+02:00,5102-3210-025__2026-06-29,238,8
2026-07-01T22:53:51+02:00,7404-2203-018__2026-06-29,91,9
2026-07-01T22:53:51+02:00,5201-0102-043__2026-06-29,245,7
2026-07-01T22:53:51+02:00,5201-0108-012__2026-06-29,253,7
2026-07-01T22:53:51+02:00,5201-0110-013__2026-06-29,364,8
2026-07-01T22:53:51+02:00,7404-2304-016__2026-06-29,315,4
2026-07-01T22:53:51+02:00,7404-2204-024__2026-06-29,315,9
2026-07-01T22:53:51+02:00,7505-2102-004__2026-06-29,90,9
2026-07-01T22:53:51+02:00,7505-1903-012__2026-06-29,154,6
2026-07-01T22:53:51+02:00,7707-0305-006__2026-06-29,273,5
2026-07-01T22:53:51+02:00,7707-1201-006__2026-06-29,91,8
2026-07-01T22:53:51+02:00,7808-1003-044__2026-06-29,90,11
2026-07-01T22:53:51+02:00,7707-0606-012__2026-06-29,362,6
2026-07-02T00:39:50+02:00,7202-6503-102__2026-06-29,89,4
